,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
1313,195 Redpath Ave 701 St | Apartment For Sale,C5125331,for sale,Residential Apartment,7,20210223,,,"499,000",1,1,1,500-599,N,None,Owned,270.09,"New Assignment In Citylights On Broadway South Tower. Architecturally Stunning, Professionally Designed Amenities, Craftsmanship &amp; Breathtaking Interior Designs - Y&amp;E's Best Value! Walking Distance To Subway W/ Endless Restaurants &amp; Shops! The Broadway Club Offers Over 18,000Sf Indoor &amp; Over 10,000Sf Outdoor Amenities Including 2 Pools, Amphitheater, Party Room W/ Chef's Kitchen, Fitness Centre! 1 Bed+Den, 1 Bath W/ Balcony. North Exposure. Locker Included. Wide Plank Laminate Floors, B/I S/S Kitchen Appliances Inc Fridge, Wall Oven, Microwave, Range Hood, Cooktop, Stone Counter-Top, Quartz Window Sills, W/D, Over 28,000 Sqft / 3 Podium Levels Of One Of Kind Indoor &amp; Outdoor Amenities.""",https://www.realmaster.com/en/toronto-on/195-redpath-ave/701-st-mount-pleasant-west-TRBC5125331?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"701 St 195 Redpath Ave, Toronto, Ontario, M4P 1V2"
1314,12 York St 2611 | Apartment For Sale,C5124102,for sale,Residential Apartment,26,20210222,,,"666,000",1,1,1,500-599,E,None,Owned,409,"undefined""",https://www.realmaster.com/en/toronto-on/12-york-st/2611-waterfront-communities-c1-TRBC5124102?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"2611 12 York St, Toronto, Ontario, M5J0A9"
1315,105 Victoria St 905 | Apartment For Sale,C5120486,for sale,Residential Apartment,9,20210218,,,"549,000",1,1,0,600-699,W,None,Ensuite,377.41,"Rarely Available, Victorian Condos, Amazing One Bedroom Unit In The Heart Of Downtown Toronto. Walk Score 100! Everything You Could Ever Want Is At Your Footsteps. Subway, Eaton Centre, Massey Hall, St. Lawrence Market &amp; More. Mid-Rise Building, With A Beautiful West View Of A Historic Building, So That View Won't Change. Freshly Painted Throughout, Clean, Updated Look, With New Stainless Steel Appliances. Inquire Today! *Tenanted. Pics From When Unit Vacant* New Laminate Flooring, Caesarstone Countertops, Undermount Sink, Ample Cabinetry &amp; New Stainless Steel Kitchen Appliances. Includes Fridge, Stove, Dishwasher, B/I Microwave, Stacked Washer/Dryer &amp; All Existing Elfs.""",https://www.realmaster.com/en/toronto-on/105-victoria-st/905-church-yonge-corridor-TRBC5120486?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"905 105 Victoria St, Toronto, Ontario, M5C3B4"
1316,3181 Bayview Ave 611 | Apartment For Sale,C5109865,for sale,Residential Apartment,6,20210209,,,"1,049,000",2,2,1,1600-1799,SW,Owned56,None,1178.98,"Large, Beautiful Tridel's- Palace Gate Conveniently Located At Bayview Ave And Finch Ave. This Spacious 2 Bedroom, 2 Bathroom Condo Boasts Luxury! Upgraded Kitchen, Herringbone Hardwood Floors And French Doors Leading Into The Den Highlight This Open Concept Condo. Plenty Of In Suite Storage Space. Brand New Stainless Steel Appliances. Master Bedroom Conveniently Has His/Her Closets Including Built Ins And 6 Pc Master Ensuite. Stainless Steel Appliances, Stacked Washer And Dryer, All Electrical Light Fixtures, Window Coverings. Maintenance Fees Include All Utilities, 24 Hour Concierge And Incredible Amenities Including Indoor Pool.""",https://www.realmaster.com/en/toronto-on/3181-bayview-ave/611-bayview-woods-steeles-TRBC5109865?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"611 3181 Bayview Ave, Toronto, Ontario, M2K2Y2"
1317,251 Jarvis St 1430 | Apartment For Sale,C5105993,for sale,Residential Apartment,13,20210205,,,"849,000",2,2,1,700-799,NW,OwnedR127,Owned,675.21,"Excellent And High Demand Location.Close To University Of Ryerson,George Brown College,500 M To Eaton Centre,Ttc At Door,Easy Access To Hwy,Hospitals,Shopping,2+1 Unobstructed Nw Corner Unit, 750 Sq Ft With 273 Sq Ft Wrapped Balcony . Tax S.S Fridge,Stove,B/I Dishwasher,Microwave,Washer,Dryer,All Elf,Roller Window Blinds,One Parking,One Locker Included.""",https://www.realmaster.com/en/toronto-on/251-jarvis-st/1430-church-yonge-corridor-TRBC5105993?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"1430 251 Jarvis St, Toronto, Ontario, M5B0C3"
1318,2035 Sheppard Ave E 112 | Apartment For Sale,C5085167,for sale,Residential Apartment,1,20210114,,,"495,000",1,1,0,500-599,N,Owned2109,Owned,520,"Rare Offered 2 Story In A Unique Open Concept Loft Style Monarch Built Condominium With One Bedroom Including Large Walk Out Garden Terrance Like Private Backyard.  Located In Prime North York, On The Subway Line, Close To 404 &amp;401, Shopping At Fairview Mall, 5 Mins To Shops At Don Mills And The Various Nearby Restaurant Or Eateries.  Brand New High End Laminate Flooring Thru Out The Unit &amp; Bedroom And Whole Unit Is Freshly Painted. ** 1 Parking &amp; 1 Locker Full Amenities, Indoor Pool, Gym, Sauna, Theater, 24 Hours Concierge, Party Room, Fridge, Stove, Microwave, Washer/Dryer And  All Existing Lighting And All Existing Blinds / Window Covers.  Move In Condition Ready!""",https://www.realmaster.com/en/toronto-on/2035-sheppard-ave-e/112-henry-farm-TRBC5085167?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"112 2035 Sheppard Ave E, Toronto, Ontario, M2J0A8"
1319,102 Bloor St W Ph 08 | Apartment For Sale,C5077952,for sale,Residential Apartment,14,20210107,,,"2,299,000",3,3,0,2250-2499,SE,Owned,Owned,2221.26,"Location! Location! Location! Welcome To Your Home In The Sky. Monumental Open-Concept Space In A 2-Story Executive Penthouse With The Finest Retail &amp; Dining Options At Your Doorstep. Beautiful Se Windows Fill The Space With Light &amp; Stunning Views. Contemporary Interior. This Spacious &amp; Functional Space Is Perfect For Entertaining. Unit Comes With 2 Parking Spots And 2 Massive Lockers. Huge Laundry Room. Enter/Exit The Building Off Bloor Or Cumberland. Fridge, Wall Oven, B/Microwave, Dishwasher, Washer/Dryer, All Electric Light Fixtures And Blinds""",https://www.realmaster.com/en/toronto-on/102-bloor-st-w/ph-08-annex-TRBC5077952?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"Ph 08 102 Bloor St W, Toronto, Ontario, M5S1M8"
1320,38 Niagara St 303 | Apartment For Sale,C4979328,for sale,Residential Apartment,3,20201104,,,"449,000",0,1,0,0-499,E,None,Owned,259,"Freshly Renovated Zed Lofts Studio Features 9'Exposed Concrete Ceiling W/ Wall-To-Wall &amp; Floor-To-Ceiling Windows; New Laminate Flooring Thru-Out,All New S/S Kitchen Appliances,New Stone Countertop,Updated Cabinets,Cupboard With One Of A Kind Genuine Smoky Quartz Door Knobs And More; Steps To Trendy King West Dining/Entertainment Area And Financial District;Easy Access To Gardiner,Lakeshore;Walk To St. Andrew Subway, Ttc Right At Door..A Place To Call Home. S/S Fridge, S/S Stove, S/S Built-In Dishwasher, S/S Range Hood, Stacked Washer And Dryer And All Electrical Light Fixtures.""",https://www.realmaster.com/en/toronto-on/38-niagara-st/303-waterfront-communities-c1-TRBC4979328?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"303 38 Niagara St, Toronto, Ontario, M5V 3X1"
1321,17 Bathurst Street | Condo Apt For Sale,,for sale,Residential Condo Apt,,20201020,,,"558,888",1,1,0,500-599,W,,,,"🌹高层超好小户型  湖景房 L-Shape厨房 🌹市中心湖景黄金地段  🌹楼下全新Loblaws旗舰店超市，全新社区中心，生活超级方便 🌹步行至湖边，QEW高速 🌹集商业，餐厅，旗舰店，高级会所为一体 🌹CN Tower，Rogers Centre，水族馆，公园""",https://www.realmaster.com/en/toronto-on/17-bathurst-street/RM1-34090?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"17 Bathurst Street, Toronto, Ontario, M5V 2N9"
1322,18 Gower St N | Townhouse For Sale,E5129502,for sale,Residential Townhouse,,20210226,,,"830,000",3,3,1,1500-2000,N,,,,"Luxury Freehold Town Home, Over 1600 Sqft Of Living Space Parquet Floors Thru-Out + Oak Staircase Eat-In Kitchen W/Walk Out To Custom Deck. Close To Subway And Downtown, Large Master Bedroom, Has Oval Shape Bath. Fenced Yard With Wood Patio Deck. Finished Basement And Laundry Room, Steps To Ttc Bus, Min To Walk To Schools, Library Plaza, Taylor Creek Park, Dentonia Golf Course. There Are 3 Pin Onthe Property(10442-0354,10442-0357,10442-0357) New S/S Fridge(1), S/S Stove, B/I Dishwasher, Washer And Dryer, Rangehood, All ElfS, All Window Coverings, New Furnace, Only $50/Month Maintenance (Snow Removal , Common Areas)""",https://www.realmaster.com/en/toronto-on/18-gower-st-n/oconnor-parkview-TRBE5129502?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"18 Gower St N, Toronto, Ontario, M4B3P5"
1323,625 The West Mall Cres 1211 | Apartment For Sale,W5129522,for sale,Residential Apartment,12,20210226,,,"549,000",3,2,1,1600-1799,SE,Exclusive49,Ensuite,943.55,"Absolutely Stunning Newly Renovated Top 2 Bottom W/ Unobstructed S/E View; Move-In Ready W/3 Sun-Filled Generous Sz Brs+Den (Used As Study Roon/4th Br); Brand New Top Quality Laminate/ High Gloss Cabinets/ Distinctive Lighting. Entertain Family/Frds In Open Concept Kitchen/Dining W/ Breakfast Bar Island. Large Master Br W/ Wi Closet &amp; Ensuite Glass Shower! 2 Full Baths. Ample Storage Sp &amp; Enclosed Balcony. Indr/Outdr Pools, Gym, Dogpark, Tennis Court &amp; More All Brand New (Without Fingerprints) Stainless Steel Appliances: Fridge, Stove, Build-In Dishwasher, High-End Custom Build-In Range Hood, Washer &amp; Dryer.""",https://www.realmaster.com/en/toronto-on/625-the-west-mall-cres/1211-eringate-centennial-west-deane-TRBW5129522?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"1211 625 The West Mall Cres, Toronto, Ontario, M9C4W9"
1324,173 Ferris Rd | House For Sale,E5128815,for sale,Residential House,,20210226,,,"1,099,000",4,4,1,,S,,,,"Desirable Custom Built Home On A Prime Ravine Lot In East York.Ground Floor Features Marble Inlayed Foyer/Entrance Open Concept With Lots Of Natural Lighting,Pot Lights, H/W Flooring,Kitchen,Granite Counter Tops, Back Splash. Freshly Renovated Finished Basement,Brand New Flooring, In-Law Suite Kitchen &amp; 4 Pc Bthrm,&amp;Rec Room. W/O Frm Kitdchen To O/S Deck O/Looking Serene Ravine Family Friendly Neigbourhood Extras:2 Fridges, 2 Stoves,B/I Dishwasher, All Elfs, All Existing Appliances S/S Fridge, Stove, Dishwasher, Brand New Washer Dryer,Fixtures, Window Coverings,Complete Waterproofing Done W/25 Year Warranty,Ecobee Smart Thermostat, Security System,Water Heater Rental,Landscaing""",https://www.realmaster.com/en/toronto-on/173-ferris-rd/oconnor-parkview-TRBE5128815?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"173 Ferris Rd, Toronto, Ontario, M4B1H1"
1325,36 Forest Manor Road | Condo Apt For Sale,,for sale,Residential Condo Apt,2,20200826,,,"560,000",1,1,1,500-699,E,,No,,"assignment sale，step from Fairview mall. east facing. Great layout. parking included. 🎁金融街楼花转让精品推荐🎁 The Lumina Condo地铁站旁Fairview Mall超值deal！1+1卧室，596SF，东向，东向，东向，含车位🚗！2021年2月入住！$570000。 ✅独一无二，不可复制的绝佳位置！ ✅楼盘位于南北贯穿高速404和东西高速401的交接口 ✅步行北约克地铁总站Don Mills地铁站 ✅北约克大型购物商场Fairview Mall对面 ✅社区完善，新建大型社区中心，公园，超市 ✅靠近Seneca学院和多大世家堡分校，租售爆灯""",https://www.realmaster.com/en/toronto-on/36-forest-manor-road/RM1-32249?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"36 Forest Manor Road, Toronto, Ontario, M2J 1M3"
1326,1146 Sandhurst Cir | House For Sale,E5127894,for sale,Residential House,,20210226,,,"1,099,000",4,4,2,,N,,,,"Must See This Gem Of Agincourt! Amazing 4+2 Bedrooms Detached Home In The Prestigious Agincourt North Community. Prepare To Be Amazed By This Newly Renovated Home, Featuring Hardwood, Pot Lights, Freshly Painted Throughout With New Fixtures, A Modern Kitchen With Quarts Counter Tops, Brand New S/S Appliances &amp; A Basement Apartment With A Separate Entrance. Steps To Public Transit, Schools, Restaurants, Shopping Hwy 401 &amp; More. Come See It Today! All Electrical Light Fixtures, 2 Fridges, 2 Stoves, 2 Range Hoods, Dishwasher, Washer And Dryer And Garage Door Openers.  Deposit Certified Cheque/Bank Draft Or Direct Deposit Payable To Re/Max Royal Properties Realty""",https://www.realmaster.com/en/toronto-on/1146-sandhurst-cir/agincourt-north-TRBE5127894?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"1146 Sandhurst Cir, Toronto, Ontario, M1V1T8"
1327,55 Woodlot Cres | House For Sale,W5129442,for sale,Residential House,,20210226,,,"1,349,900",4,4,2,,W,,,,"Premium Lot! No Neighbor At The Back! Great Location! Close To Everything! Same Owner For 23 Years! Natural Oak Staircase, Neutral Colour, Freshly Painted &amp; Natural Light Throughout. Bsmt Has Own Separate Entrance W/ 2 Bdrms, 4Pc Wshrm, Kitchen &amp; Living Room. *Amazing Value, Close To The Upcoming Woodbine Developments, Close To Schools, Humber College, Parks, Church, Shopping Mall, Ttc, Hwy 427, 407 ***View Multimedia Virtual Tour*** Existing Fridge (2), Stove (2), Washer &amp; Dryer, All Elfs, All Window Coverings &amp; Blinds. Hwt (Rental). A/C (2018), Roof (2018), Furnace (2018), Driveway Paving (2018). Seller Does Not Warrant Retrofit Status Of Bsmt &amp; Gazebo At Back""",https://www.realmaster.com/en/toronto-on/55-woodlot-cres/west-humber-clairville-TRBW5129442?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"55 Woodlot Cres, Toronto, Ontario, M9W6T3"
1328,6 Pont Ln | Townhouse For Sale,W5129198,for sale,Residential Townhouse,,20210226,,,"789,000",3,2,0,1100-1500,W,,,99,"Absolutely Stunning 3-Storey, 3 Bdrm, 2-Bthrm Freehold Townhome In A Highly Sought After Pocket Of Toronto, Steps And Minutes To Every Convenience! Builder's Model Home W/Soaring 9' Ceilings, Bright Living Spaces &amp; Bedrooms, Large Open Concept Living &amp; Dining Rooms, Beautiful Kitchen W/Pantry &amp; Breakfast Area &amp; Finished Half Bsmt With Access From The Garage, Perfect For Extra Storage. Large Private Backyard Extends The Living Space Outdoors. A Must See! Steps To Grocery, Shopping, Restaurants, Ttc, Parks &amp; Minutes To Hwy 401 &amp; Hwy 400. Includes: S/S Fridge, Stove, B/I Microwave, D/W, Washer And Dryer, Gdos &amp; Remotes, All Elfs &amp; Window Coverings. $99.00 Maint For Landscaping/Sprinker/Snow.""",https://www.realmaster.com/en/toronto-on/6-pont-ln/weston-TRBW5129198?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"6 Pont Ln, Toronto, Ontario, M9N0A4"
1329,15 Deanefield Cres | House For Sale,W5127229,for sale,Residential House,,20210225,,,"1,048,888",3,2,1,,S,,,,"Welcome To Etobicoke - Prime Location, Just Steps To West Deane Park, With Easy Access To 427, Qew, 401 And Airport! One Bus To Subway And Close To Excellent Schools And Other Amenities, Situated On A Quiet Crescent. Updated Kitchen With Stainless Steel Appliances And Granite Counter And A New Dishwasher. This Property Features A Separate Entrance For An In-Law Suite Or Additional Investment Income. All Existing Appliances And All Elf's""",https://www.realmaster.com/en/toronto-on/15-deanefield-cres/eringate-centennial-west-deane-TRBW5127229?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"15 Deanefield Cres, Toronto, Ontario, M9B3B2"
1330,48 Dempster St | House For Sale,E5128792,for sale,Residential House,,20210226,,,"990,000",3,1,0,1100-1500,N,,,,"Origin Residents Since 1973! Renovated Clay Brick Bungalow @ A Large 60' X 125' Level Lot In A Prime Area Near All Amenities!  Most Reno&amp;Upgrds Done 6 Years Ago/ Windows, Roof, Bath., &amp; Kit.- '14/ Double Detached Garage C/W Roof &amp; Shingles ('16)Dark Stained Oak Fl In Lr., Dr., Hall, + 3 Brs.! Front &amp; Back Drs.('16), Laundry Tub('16), Drapes &amp; Tracks In Lr. &amp; Dr. Rms. Above Grade Windows In The Bsmt .No Front Sidewalk! Huge Potential For Family Or Investment All Electric Light Fixtures; All Window Coverings; Fridge; Stove; Washer; Dryer; Hi-Efficiency Gb&amp;E- '15; Central Air Conditioning; Ehwh(R); Fanin Masbr.; 100 Amp. Circuit Breakers- Copper Wire! Plaster Walls &amp; Ceilings! Fully Fenced Yard!""",https://www.realmaster.com/en/toronto-on/48-dempster-st/tam-oshanter-sullivan-TRBE5128792?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"48 Dempster St, Toronto, Ontario, M1T2T5"
1331,297 Kennedy Rd | House For Sale,E5128034,for sale,Residential House,,20210225,,,"728,000",2,2,1,700-1100,E,,,,"Attention: Builders, End Users, Renovators, Large Flat Lot 40X125 Feet, Not Many This Size Come Onto Market, Open Concept Bungalow, Perfect Location For Extensive Renovation, Rebuild, Income Prop, Base Apt Was Getting $1000, Or Move In, Mostly Rewired, Recent Roof, Recent Windows, Separate Entrance To Basement Apartment. Open Concept First Floor Maximizes Space, Large Deck And Big Backyard. All Elfs, Fridge, 2 Stoves, Washer, Dryer, All Window Coverings, 2 Sheds (Plastic And Wood) Excluded: Shed Closest To House""",https://www.realmaster.com/en/toronto-on/297-kennedy-rd/birchcliffe-cliffside-TRBE5128034?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"297 Kennedy Rd, Toronto, Ontario, M1N3P6"
1332,2 Orville Rd | House For Sale,E5125956,for sale,Residential House,,20210224,,,"1,299,999",3,3,4,,E,,,,"Corner Lot, Sun Filled Bungalow On Small Quiet Street! 3 Bedrooms Upstairs &amp; 4 Bedrooms Downstairs. Perfect Home For A Large Family! 3 Full Washrooms &amp; 2 Kitchens, All Renovated Recently. Well Maintained Home With Generous Size Rooms. Kitchen Complete W/Quartz Countertops &amp; S/S Appliances. Finished Basement With Separate Entrance! Amazing Location! Steps To Parks, Trails, Schools, Cedarbrea Mall &amp; Bus Stops, Short Drive To Ttc  &amp; Go Train Station For Commuters. High Demand Neighbourhood. Includes 2 Fridges, Dishwasher, 2 Stoves, Washer/Dryer.""",https://www.realmaster.com/en/toronto-on/2-orville-rd/woburn-TRBE5125956?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"2 Orville Rd, Toronto, Ontario, M1H1E6"
1333,6 Lausanne Cres | House For Sale,E5124911,for sale,Residential House,,20210223,,,"999,900",3,2,2,,W,,,,"Your Own Virtually Brand New Home In Guildwood! Absolutely Stunning! Total Top To Bottom Reno! Meticulous Attention To Detail And Quality! 2 New Custom Built Kitchens W Quartz Countertops &amp; High End Appls! 2 New Bathrooms, New Plumbing, Wiring, Insulation, Flooring Throughout! Side Entrance To Lower Level In-Law Suite!  New Driveway! In Great Guildwood Community! Steps To Great Schools, Go Stn, Parks, Bluffs, Lake! Don't Miss This One! View 3D Virtual Tour! 2 Stainless Steel Fridges, 2 S.S. Stoves, 2 Bi Dishwashers, Bar Fridge, 2 Range Hoods, Washer, Dryer, 3 Armoires In Main Floor Bedrooms, All Elf's, All Window Coverings, Tankless Water Heater, Air Cond, New Gas Furnace, Security Sys, Shed.""",https://www.realmaster.com/en/toronto-on/6-lausanne-cres/guildwood-TRBE5124911?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"6 Lausanne Cres, Toronto, Ontario, M1E1Y5"
1334,71 Huxtable Ln | Townhouse For Sale,E5124479,for sale,Residential Townhouse,,20210223,,,"699,000",3,3,0,,N,,,140,"Welcome To This Bright &amp; Immaculate 3-Bedroom Townhome Boasting Open-Concept Living. Featuring Hardwood Floors Throughout, A Bright &amp; Spacious Kitchen With Breakfast/Dining Area. Large Living &amp; Dining Combined Area With Gleaming Hardwood, Bright South Facing View. Master Bedroom Features A 4- Piece Bath &amp; Walk-In Closet. Easy Access To Hwy 401, Walk To Plaza With Canadian Tire, Starbucks , Shoppers, Restaurants. Walk To Schools &amp; Public Trans, Close To Parks. Stainless Steel Stove &amp; Over-Range Microwave; White Fridge, White Dishwasher. Washer &amp; Dryer. All Existing Window Coverings. All Existing Light Fixtures. Nest Smart Doorbell. Eco Bee Smart Thermostat. Garage Door Opener. Hwt (Rental)""",https://www.realmaster.com/en/toronto-on/71-huxtable-ln/rouge-e11-TRBE5124479?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"71 Huxtable Ln, Toronto, Ontario, M1B0A3"
1335,77 Chester Ave | House For Sale,E5124308,for sale,Residential House,,20210223,,,"1,199,000",3,2,1,,E,,,,"This Lovely Prime Riverdale Home Blends Traditional Charm With Modern Tasteful Upgrades! Bright Spacious Lr/Dr With High Celings, Hardwood Floors And Stained Glass /Two Reno'd Baths, Central Ac &amp; Furnace(2020). Reno'd Eat In Kitchen With Walk Out To Deck(2019) &amp; Landscaped Yard(2019). Two Car Pking/Built-In Closet Organizers In Mb/Finished Basement (6' 6) &amp; 4th Bedroom. Jackman School District, Steps To Subway &amp; Danforth. All Stainless Steel Fridge, Stove, Micro, D/W, Washer, Dryer. All Elfs, Ceiling Fans, Gb&amp;E, Central Air, Ductless A/C, Window Coverings, Retract Deck Awning/Garden Shed. Exclude Kitchen Sheers. See Attachments For Full List Of Improvements.""",https://www.realmaster.com/en/toronto-on/77-chester-ave/playter-estates-danforth-TRBE5124308?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"77 Chester Ave, Toronto, Ontario, M4K2Z8"
1336,30 Seymour Ave | House For Sale,E5124019,for sale,Residential House,,20210222,,,"1,118,000",3,3,1,,W,,,,"Solid Semi With Completely Renovated From Top To Bottom In The Pocket, One Of Toronto's Most Sought After Communities! Near Withrow Park, Earl Grey Sr Ps, Blake Jr Ps &amp; Riverdale Collegiate! Walk To Parks, Shops, Restaurants, Coffee Shops &amp; Subway. Stunning Open Concept Living Area With High Ceilings. Live And Work Comfortably On Main&amp;2nd Floors With Basement Income Around $1750 All Inclusive. Rare Private Parking Spot With A Legal Parking Pad! Must See!!! Kitchenaid Ss: Fridge,  Gas Stoves, B/I Dishwasher. Microwave, Ss B/I Range Hood, Ge Washer&amp;Dryer. Bsmt:Ge Stove, Whirlpool Ss Fridge, B/I Samsung Microwave. New Windows, New Doors, New Furnace &amp; Cac, Elfs. Tankless Water Heater(Rental).""",https://www.realmaster.com/en/toronto-on/30-seymour-ave/blake-jones-TRBE5124019?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"30 Seymour Ave, Toronto, Ontario, M4J 3T4"
1337,471 Greenwood Ave | House For Sale,E5123210,for sale,Residential House,,20210222,,,"799,800",2,2,0,,E,,,,"Look No Further. Finally, An Affordable Starter For First Time Buyers Looking To Enter The Market. Situated In The Pocket. Two Bdrms, 2 Baths &amp; Finished Lower Level. Kitchen Awaits Your Personal Touch, Features Walkout To Deck/Garden. Freshly Painted Throughout. Designer Inspired Decor. Parking. Located Steps From Felstead &amp; Greenwood Park. Restaurants,Cafes &amp; Shops On The Danforth. Easy Ttc Access To Subway, Gerrard Streetcar &amp; Quick Drive To Gardiner &amp; Dvp. Existing Designer Light Fixtures, Fridge, Stove, Hwt (R) Washer, Dryer. All Appliances In As Is Condition. Must Remove Shoes, Wear Mask When Showing""",https://www.realmaster.com/en/toronto-on/471-greenwood-ave/greenwood-coxwell-TRBE5123210?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"471 Greenwood Ave, Toronto, Ontario, M4J4A5"
1338,166 Guildwood Pkwy | House For Sale,E5122117,for sale,Residential House,,20210220,,,"1,099,000",3,2,0,,N,,,,"Welcome To High Demand Guildwood! South Facing Family Home; With Lots Of Living Space ~ Located Within Walking Distance Of Shops, Schools, Historical Guild Inn &amp; Gardens And Transit!  Spacious Principal Rooms, Family Size Kitchen, 3 Bdrms, Main Floor Family Room With Walk Out To A 70' Lot To Enjoy!  Granite  Kitchen Counter, Tons Of Natural Light Thruout, 2 Fireplaces!  Short Stroll To All Amenities, Lake Ontario Waterfront &amp; Trails.Your Place To Call Home! Existing Kitchen Fridge, Stove, Built-In Microwave,  Washer, Dryer, (Appliances As Is) Existing Window Coverings,  Hwt (R) 31.08 + Hst / Month, Elf, Broadloom Where Laid, Gb&amp;E, Shingle Roof (2019),  Summertime Yard With Lots Of Fruit Trees.""",https://www.realmaster.com/en/toronto-on/166-guildwood-pkwy/guildwood-TRBE5122117?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"166 Guildwood Pkwy, Toronto, Ontario, M1E1P4"
1339,125 Alford Cres | House For Sale,E5121429,for sale,Residential House,,20210219,,,"899,900",3,4,2,,E,,,142,"Beautifully Upgraded Home On A Fantastic Corner Lot In The Heart Of Scarborough, Conveniently  Located Near To 401, Plaza, Mosque, Temple, Doctors Office, School, Uoft, Centennial College,Etc. Outstanding Lot, Full Of  Brightness Inside Out, S/S Appliances, Huge Master Bedrm With Ensuite Washroom, W/O To Backyard, Etc. All Yours To Move In And To Enjoy. S/S Fridge, B/I Dishwasher, Washer &amp; Dryer, Gas Stove, New Exhaust Fan, New Cac, Gas Bbq In Backyard, Newer Roof, Interlock Driveway, Inlaw Bsmnt Suite With Sept Entrance, High Ceiling Foyer,Chandelier,Potl Fee: $142.00 Mthly.""",https://www.realmaster.com/en/toronto-on/125-alford-cres/malvern-TRBE5121429?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=10,"125 Alford Cres, Toronto, Ontario, M1B 4C1"
1340,49 East Liberty Street | Condo Apt For Sale,,for sale,Residential Condo Apt,27,20210219,,,"689,000",2,2,0,500-699,,,,,"Liberty village 两房公寓楼花转让， 近go train station ,  向北步行10分钟到 Trinity Bellwoods park （多伦多市中心最大公园） ,向南步行10分钟到安大略湖畔，旁边Metro 超市，  室内666 尺+ 43 尺阳台，27楼东北角朝向 。价钱包一个车位。 2021年5月交钥匙""",https://www.realmaster.com/en/toronto-on/49-east-liberty-street/RM1-38189?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=116,"49 East Liberty Street, Toronto, Ontario, M6K 0A7"
1341,30 Evansville Rd | House For Sale,E5127004,for sale,Residential House,,20210224,,,"699,000",3,3,2,,W,,,,"Semi-Detached/Bungalow-Raised Sunfilled House Located In High-Demand Neighbourhood In Scarborough. Bsmt W/ Seperate Entrance. 3 Drive Park Spaces By Front Door. Upgraded Hwt, Furnance And Cac By 2016. Super Convenient Location!! Minutes To Ttc, Supermarket, Shopping Mall, Banks And Schools. Short Cut Street To Midland Behind House! Must See!  Extra High Income From Tenant. Fridge, Stove, Dishwasher, Washer/Dryer, All Window Coverings, Light Fixture.""",https://www.realmaster.com/en/toronto-on/30-evansville-rd/agincourt-north-TRBE5127004?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=116,"30 Evansville Rd, Toronto, Ontario, M1V1L5"
1342,200 Lawrence Ave W | House For Sale,C5122138,for sale,Residential House,,20210220,,,"1,399,000",2,2,2,,N,,,,"Rare Opportunity!!! Detached Lawrence Park Bungalow! Walk To Subway, All Amenities &amp; Pusateri's!!! Across From Lawrence Park Collegiate. Top Rated School Zone, Minutes To Hwy 401, Hospital, Public Transit. Live Or Build! Great Opportunity To Build 4 Bedroom Dream Home! Huge Potential!!! Steel Stove And Fridge, Dish Washer, Washer And Dryer. All Elf's And Window Covering.""",https://www.realmaster.com/en/toronto-on/200-lawrence-ave-w/lawrence-park-north-TRBC5122138?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=116,"200 Lawrence Ave W, Toronto, Ontario, M5M1A8"
